Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
"Sephiroth, Planet's Heir",FIN,Final Fantasy,553,foil,mythic,1,103801,abd73e52-62f0-4e89-9dc6-90ff0bc2a9b7,0.54,false,false,near_mint,en,EUR
Sahagin,FIN,Final Fantasy,71,normal,common,1,106276,516940c7-c271-4f64-af75-c7ba98548382,0.22,false,false,near_mint,en,EUR
Il Mheg Pixie,FIN,Final Fantasy,57,normal,uncommon,3,106629,ae612312-3a8e-495f-8730-deaaf7505ca1,0.05,false,false,near_mint,en,EUR
Retrieve the Esper,FIN,Final Fantasy,68,normal,common,2,106301,ebd733f0-8883-434a-b36c-ef76b091fe8e,0.02,false,false,near_mint,en,EUR
Dreams of Laguna,FIN,Final Fantasy,50,normal,common,2,106292,ba752243-2727-4b8a-8e21-e70becfd4ff3,0.07,false,false,near_mint,en,EUR
Relm's Sketching,FIN,Final Fantasy,67,normal,uncommon,1,106345,6aedac12-3714-4a81-bd4d-1d2555c66f78,0.14,false,false,near_mint,en,EUR
"Ultimecia, Temporal Threat",FIN,Final Fantasy,556,normal,rare,1,106130,b64e4475-f1c6-4d85-b42f-6d84d06855bb,0.47,false,false,near_mint,en,EUR
Undercity Dire Rat,FIN,Final Fantasy,123,normal,common,4,106270,274788f4-fbf3-4a15-bdc0-f513a2fde30d,0.08,false,false,near_mint,en,EUR
Shinra Reinforcements,FIN,Final Fantasy,118,normal,common,3,106282,7367b257-1a8c-4593-a307-7116e36e0342,0.04,false,false,near_mint,en,EUR
Sephiroth's Intervention,FIN,Final Fantasy,116,normal,common,3,106297,cf7df82f-937a-443f-813f-2bcc6944c5c0,0.05,false,false,near_mint,en,EUR
Shambling Cie'th,FIN,Final Fantasy,117,normal,uncommon,3,106302,f02ce338-4fe2-44b0-a896-3ed7e6c874a3,0.04,false,false,near_mint,en,EUR
Al Bhed Salvagers,FIN,Final Fantasy,88,normal,uncommon,3,106278,58ccdcfc-a669-480f-bded-4273cfaf2045,0.06,false,false,near_mint,en,EUR
Overkill,FIN,Final Fantasy,109,normal,uncommon,2,106628,ae075e71-d33d-4d6c-b4a5-0b47dd6fd196,0.2,false,false,near_mint,en,EUR
Evil Reawakened,FIN,Final Fantasy,98,normal,uncommon,2,106300,eb98cbc3-749c-44f4-974c-00be1286d69e,0.09,false,false,near_mint,en,EUR
Seymour Flux,FIN,Final Fantasy,558,normal,rare,1,106156,c5fdc78e-0815-443c-8c26-35387b6f4f37,0.25,false,false,near_mint,en,EUR
Deadly Embrace,FIN,Final Fantasy,557,normal,rare,1,106087,a11cb85c-85dd-435c-8303-4d0d18bdb1e9,0.19,false,false,near_mint,en,EUR
"Xande, Dark Mage",FIN,Final Fantasy,561,normal,rare,1,105846,1caed9a8-b73b-470e-b9d8-8c3b7cac3eee,0.16,false,false,near_mint,en,EUR
Magitek Scythe,FIN,Final Fantasy,562,normal,rare,1,106027,8b691d42-3498-4d47-9a46-f7c376df8886,0.17,false,false,near_mint,en,EUR
"Cloud, Planet's Champion",FIN,Final Fantasy,552,foil,mythic,1,103799,a6d58067-337d-43dc-b4a3-c6acc701d450,1.55,false,false,near_mint,en,EUR
Cloudbound Moogle,FIN,Final Fantasy,11,normal,common,2,106283,7387bca7-f496-45da-a0ac-6be049303a8f,0.04,false,false,near_mint,en,EUR
Coeurl,FIN,Final Fantasy,12,normal,common,2,106284,7604b534-5480-42fa-bc36-bbae730f8582,0.03,false,false,near_mint,en,EUR
Dwarven Castle Guard,FIN,Final Fantasy,18,normal,common,4,106454,e17c0d27-e88d-4ba9-acbb-3f916cee3d7e,0.03,false,false,near_mint,en,EUR
Fate of the Sun-Cryst,FIN,Final Fantasy,19,normal,common,2,106287,900cdf11-b42e-4dcc-97c3-2e4d8e406a70,0.03,false,false,near_mint,en,EUR
Slash of Light,FIN,Final Fantasy,32,normal,common,2,106662,da6d9529-3cb0-4adc-8209-b9b02db3bf54,0.04,false,false,near_mint,en,EUR
White Auracite,FIN,Final Fantasy,41,normal,common,2,105873,2df6f515-9d21-4769-b1c4-c219611bccbb,0.11,false,false,near_mint,en,EUR
White Mage's Staff,FIN,Final Fantasy,42,normal,common,1,105584,30db372e-0b4c-4e16-9667-bf3fda666f72,0.04,false,false,near_mint,en,EUR
Adelbert Steiner,FIN,Final Fantasy,3,normal,uncommon,1,106424,1a67a991-1e52-4676-a2e3-2bc7aa943ab3,0.06,false,false,near_mint,en,EUR
The Crystal's Chosen,FIN,Final Fantasy,14,normal,uncommon,1,105725,d4df4373-0ee6-44e3-81c6-0881c070014c,0.04,false,false,near_mint,en,EUR
Dragoon's Lance,FIN,Final Fantasy,17,normal,uncommon,1,105671,96630531-8eb7-4e3e-8d63-60c562a5571b,0.07,false,false,near_mint,en,EUR
G'raha Tia,FIN,Final Fantasy,21,normal,uncommon,1,106501,076a8eca-ed73-4ee9-aab4-d9d43d394ee6,0.04,false,false,near_mint,en,EUR
"Rosa, Resolute White Mage",FIN,Final Fantasy,555,normal,rare,1,106153,c44e0ad6-9f44-4e4c-8c3b-3ee99409a740,1.72,false,false,near_mint,en,EUR
"Beatrix, Loyal General",FIN,Final Fantasy,554,normal,rare,1,106074,9da83b07-4978-4af7-be51-8aa8f35ec0bb,0.87,false,false,near_mint,en,EUR
Item Shopkeep,FIN,Final Fantasy,142,normal,common,3,106293,bd2db3f5-fd0d-4817-af90-6bea1f07e16b,0.03,false,false,near_mint,en,EUR
Warrior's Sword,FIN,Final Fantasy,169,normal,common,2,106296,cb98a7dd-542e-4448-b3bb-ff5d67a36535,0.03,false,false,near_mint,en,EUR
Suplex,FIN,Final Fantasy,164,normal,common,1,106376,f61693a2-7042-44e0-85ba-9bf12ab94e7e,0.08,false,false,near_mint,en,EUR
Freya Crescent,FIN,Final Fantasy,138,normal,uncommon,1,106289,9921f646-e893-44db-ac89-0633c1009788,0.11,false,false,near_mint,en,EUR
Samurai's Katana,FIN,Final Fantasy,154,normal,uncommon,2,106267,11f1d378-c78c-402a-ac46-2d32598c23e7,0.08,false,false,near_mint,en,EUR
Barret Wallace,FIN,Final Fantasy,129,normal,uncommon,1,105840,1a504dff-5857-4a61-ab99-616d5df7cf5a,0.08,false,false,near_mint,en,EUR
"Lightning, Security Sergeant",FIN,Final Fantasy,560,normal,rare,1,105920,4ad4dce3-6e43-4528-b570-85547d03164e,0.29,false,false,near_mint,en,EUR
Judgment Bolt,FIN,Final Fantasy,559,normal,rare,1,105801,05b04b06-9271-4a28-a60e-287df0d1a4d1,0.18,false,false,near_mint,en,EUR
Ultima Weapon,FIN,Final Fantasy,563,normal,rare,1,106135,b9162d08-a6ba-4e6e-b82c-9b092bd781dd,3.7,false,false,near_mint,en,EUR